,Predicted_Mean,Lower_CI,Upper_CI
2023-01-01,56.725691990812315,51.72471493210802,61.72666904951661
2023-01-02,55.57033272992949,50.569355671225196,60.57130978863378
2023-01-03,53.68477967889335,48.683802620189056,58.68575673759764
2023-01-04,53.43481124059033,48.433834181886034,58.43578829929462
2023-01-05,55.52764806560533,50.52667100690103,60.52862512430962
2023-01-06,54.813640322142945,49.81266326343865,59.81461738084724
2023-01-07,54.12798602097279,49.1270089622685,59.128963079677085
2023-01-08,55.1274040592605,50.126427000556205,60.12838111796479
2023-01-09,55.78444988767781,50.783472828973515,60.7854269463821
2023-01-10,54.01948070219419,49.01850364348989,59.02045776089848
2023-01-11,53.64748591653921,48.64650885783492,58.648462975243504
2023-01-12,55.8341042980939,50.833127239389604,60.83508135679819
2023-01-13,56.15611533291245,51.155138274208156,61.15709239161674
2023-01-14,55.38543812263013,50.38446106392583,60.38641518133442
2023-01-15,57.043770949909145,52.04279389120485,62.04474800861344
2023-01-16,57.61503567012147,52.61405861141718,62.616012728825766
2023-01-17,56.822586727892315,51.82160966918802,61.82356378659661
2023-01-18,56.72458311465981,51.723606055955514,61.7255601733641
2023-01-19,55.20077929074131,50.199802232037015,60.2017563494456
2023-01-20,57.13380765762801,52.13283059892372,62.134784716332305
2023-01-21,56.0505752401368,51.04959818143251,61.051552298841095
2023-01-22,60.98856721353309,55.987590154828794,65.98954427223738
2023-01-23,57.75025451774825,52.74927745904396,62.75123157645255
2023-01-24,59.6581546376192,54.657177578914904,64.65913169632348
2023-01-25,65.26926664273735,60.268289584033056,70.27024370144164
2023-01-26,67.16614130098463,62.16516424228034,72.16711835968893
2023-01-27,68.05407466033498,63.05309760163068,73.05505171903927
2023-01-28,68.94069642653619,63.9397193678319,73.94167348524049
2023-01-29,67.56534078363522,62.56436372493093,72.56631784233952
2023-01-30,66.82186624682359,61.820889188119295,71.82284330552788
2023-01-31,69.3090932912907,64.3081162325864,74.31007034999499
2023-02-01,70.93794532770886,65.93696826900457,75.93892238641315
2023-02-02,59.945713686675575,54.94473662797128,64.94669074537987
2023-02-03,58.16254905791446,53.16157199921017,63.163526116618755
2023-02-04,63.2383375974055,58.2373605387012,68.23931465610978
2023-02-05,68.07974458674921,63.07876752804492,73.08072164545351
2023-02-06,67.7166480454647,62.7156709867604,72.71762510416899
2023-02-07,69.23529471993446,64.23431766123016,74.23627177863875
2023-02-08,71.23392601699912,66.23294895829483,76.23490307570341
2023-02-09,72.0164065349494,67.0154294762451,77.01738359365369
2023-02-10,73.67333452429514,68.67235746559085,78.67431158299944
2023-02-11,77.65357600062931,72.65259894192502,82.65455305933361
2023-02-12,82.087077932686,77.0861008739817,87.0880549913903
2023-02-13,81.12595694614667,76.12497988744238,86.12693400485097
2023-02-14,82.10885665725354,77.10787959854925,87.10983371595783
2023-02-15,83.34440685563203,78.34342979692774,88.34538391433632
2023-02-16,87.2087005667961,82.2077235080918,92.20967762550039
2023-02-17,83.39818086271245,78.39720380400816,88.39915792141674
2023-02-18,86.76779818999123,81.76682113128693,91.76877524869552
2023-02-19,91.1752830879391,86.17430602923481,96.1762601466434
2023-02-20,92.79581972456431,87.79484266586002,97.7967967832686
2023-02-21,92.17458826091242,87.17361120220812,97.17556531961671
2023-02-22,97.58435648357367,92.58337942486938,102.58533354227797
2023-02-23,99.39498612827539,94.3940090695711,104.39596318697969
2023-02-24,91.34556898419534,86.34459192549105,96.34654604289963
2023-02-25,80.64398077952728,75.64300372082299,85.64495783823158
2023-02-26,84.70897826774251,79.70800120903822,89.7099553264468
2023-02-27,87.50699697842514,82.50601991972084,92.50797403712943
2023-02-28,77.2283840095114,72.22740695080711,82.2293610682157
2023-03-01,87.81413712400835,82.81316006530406,92.81511418271265
2023-03-02,84.93814242836359,79.9371653696593,89.93911948706788
2023-03-03,85.06050930781099,80.0595322491067,90.06148636651528
2023-03-04,91.07465027739931,86.07367321869502,96.07562733610361
2023-03-05,94.10406857274394,89.10309151403965,99.10504563144823
2023-03-06,85.93134535937668,80.93036830067238,90.93232241808097
2023-03-07,91.79486998737404,86.79389292866975,96.79584704607834
2023-03-08,91.95867670480577,86.95769964610147,96.95965376351006
2023-03-09,97.60702180690777,92.60604474820347,102.60799886561206
2023-03-10,70.90091242348754,65.89993536478325,75.90188948219183
2023-03-11,66.21132362198112,61.21034656327683,71.21230068068542
2023-03-12,73.64583315759002,68.64485609888573,78.64681021629431
2023-03-13,86.40432198063351,81.40334492192922,91.4052990393378
2023-03-14,81.29292764667335,76.29195058796905,86.29390470537764
2023-03-15,80.15575015979336,75.15477310108906,85.15672721849765
2023-03-16,70.70268292260965,65.70170586390536,75.70365998131395
2023-03-17,53.13810464352556,48.137127584821265,58.13908170222985
2023-03-18,17.155974704864946,12.154997646160654,22.15695176356924
2023-03-19,39.28821518223002,34.287238123525725,44.28919224093431
2023-03-20,41.76331889389406,36.762341835189766,46.76429595259835
2023-03-21,39.27851872980178,34.27754167109749,44.279495788506075
2023-03-22,35.78238327470695,30.781406216002658,40.783360333411245
2023-03-23,26.615198243482432,21.61422118477814,31.616175302186726
2023-03-24,35.69088784469152,30.689910785987223,40.69186490339581
2023-03-25,33.28225605745246,28.281278998748164,38.28323311615675
2023-03-26,30.982085668177227,25.981108609472933,35.98306272688152
2023-03-27,32.4905223551351,27.489545296430805,37.49149941383939
2023-03-28,31.167630976706697,26.166653918002403,36.16860803541099
2023-03-29,17.425945427619524,12.424968368915232,22.426922486323818
2023-03-30,11.673000698267838,6.672023639563546,16.67397775697213
2023-03-31,16.107133941121333,11.106156882417041,21.108110999825627
2023-04-01,17.426113467824816,12.425136409120524,22.427090526529106
2023-04-02,20.692214456418192,15.6912373977139,25.693191515122486
2023-04-03,21.7445509584847,16.743573899780408,26.745528017188995
2023-04-04,17.14918688026073,12.148209821556437,22.150163938965022
2023-04-05,15.17143289825292,10.170455839548628,20.17240995695721
2023-04-06,16.10515105103192,11.10417399232763,21.10612810973621
2023-04-07,18.329546564917187,13.328569506212895,23.33052362362148
2023-04-08,17.426250557524174,12.425273498819882,22.427227616228464
2023-04-09,17.423463938068515,12.422486879364223,22.42444099677281
2023-04-10,16.79926143509015,11.798284376385856,21.80023849379444
2023-04-11,13.617198881487889,8.616221822783597,18.61817594019218
